seed,N,R,d,lr,epochs,method,error
1194623263,1000,200,6,0.3,15000,orf,0.04419976472854614
2205739499,1000,200,6,0.3,15000,orf,0.019425788894295692
2718843009,1000,200,8,0.3,15000,orf,0.02679518237709999
1278412471,1000,200,8,0.3,15000,orf,0.03055466338992119
4104543539,1000,200,8,0.3,15000,orf,0.02858441136777401
1194623263,1000,200,8,0.3,15000,orf,0.03000408038496971
2205739499,1000,200,8,0.3,15000,orf,0.05114004388451576
2718843009,1000,200,10,0.3,15000,orf,0.039727985858917236
1278412471,1000,200,10,0.3,15000,orf,0.037279363721609116
4104543539,1000,200,10,0.3,15000,orf,0.040245506912469864
1194623263,1000,200,10,0.3,15000,orf,0.04359997808933258
2205739499,1000,200,10,0.3,15000,orf,0.04273802042007446
2718843009,1000,200,12,0.3,15000,orf,0.057862624526023865
1278412471,1000,200,12,0.3,15000,orf,0.05529940128326416
4104543539,1000,200,12,0.3,15000,orf,0.056132972240448
1194623263,1000,200,12,0.3,15000,orf,0.05916085094213486
2205739499,1000,200,12,0.3,15000,orf,0.055989328771829605
2718843009,1000,200,14,0.3,15000,orf,0.0738712027668953
1278412471,1000,200,14,0.3,15000,orf,0.07070405781269073
4104543539,1000,200,14,0.3,15000,orf,0.0956786498427391
1194623263,1000,200,14,0.3,15000,orf,0.07027506083250046
2205739499,1000,200,14,0.3,15000,orf,0.08366145193576813
2718843009,1000,200,16,0.3,15000,orf,0.10312145948410034
1278412471,1000,200,16,0.3,15000,orf,0.09514354914426804
4104543539,1000,200,16,0.3,15000,orf,0.09887579828500748
1194623263,1000,200,16,0.3,15000,orf,0.09256716817617416
2205739499,1000,200,16,0.3,15000,orf,0.09883371740579605
2718843009,1000,200,18,0.3,15000,orf,0.12160388380289078
1278412471,1000,200,18,0.3,15000,orf,0.12037056684494019
4104543539,1000,200,18,0.3,15000,orf,0.12352308630943298
1194623263,1000,200,18,0.3,15000,orf,0.12288111448287964
2205739499,1000,200,18,0.3,15000,orf,0.12305738776922226
2718843009,1000,200,20,0.3,15000,orf,0.15666338801383972
1278412471,1000,200,20,0.3,15000,orf,0.1603294163942337
4104543539,1000,200,20,0.3,15000,orf,0.15120147168636322
1194623263,1000,200,20,0.3,15000,orf,0.15368954837322235
2205739499,1000,200,20,0.3,15000,orf,0.15365785360336304
2718843009,1000,200,22,0.3,15000,orf,0.1920163929462433
1278412471,1000,200,22,0.3,15000,orf,0.1858978122472763
4104543539,1000,200,22,0.3,15000,orf,0.19244101643562317
1194623263,1000,200,22,0.3,15000,orf,0.19323961436748505
2205739499,1000,200,22,0.3,15000,orf,0.18958847224712372
2718843009,1000,200,24,0.3,15000,orf,0.2460954636335373
1278412471,1000,200,24,0.3,15000,orf,0.24080967903137207
4104543539,1000,200,24,0.3,15000,orf,0.2318618893623352
1194623263,1000,200,24,0.3,15000,orf,0.23039761185646057
2205739499,1000,200,24,0.3,15000,orf,0.23031748831272125
2718843009,1000,200,26,0.3,15000,orf,0.29208508133888245
1278412471,1000,200,26,0.3,15000,orf,0.2772371768951416
4104543539,1000,200,26,0.3,15000,orf,0.28140226006507874
1194623263,1000,200,26,0.3,15000,orf,0.28010332584381104
2205739499,1000,200,26,0.3,15000,orf,0.28214913606643677
2718843009,1000,200,28,0.3,15000,orf,0.33467355370521545
1278412471,1000,200,28,0.3,15000,orf,0.3303932547569275
4104543539,1000,200,28,0.3,15000,orf,0.33981356024742126
1194623263,1000,200,28,0.3,15000,orf,0.341154545545578
2205739499,1000,200,28,0.3,15000,orf,0.33339759707450867
2718843009,1000,200,30,0.3,15000,orf,0.3944430649280548
1278412471,1000,200,30,0.3,15000,orf,0.41176560521125793
4104543539,1000,200,30,0.3,15000,orf,0.4059974253177643
1194623263,1000,200,30,0.3,15000,orf,0.39248234033584595
2205739499,1000,200,30,0.3,15000,orf,0.391213983297348
2718843009,1000,200,2,0.3,15000,nys,0.0001210478731081821
1278412471,1000,200,2,0.3,15000,nys,8.153109229169786e-05
4104543539,1000,200,2,0.3,15000,nys,0.00011201456072740257
1194623263,1000,200,2,0.3,15000,nys,8.36237013572827e-05
2205739499,1000,200,2,0.3,15000,nys,8.665349741932005e-05
2718843009,1000,200,4,0.3,15000,nys,0.00020228105131536722
1278412471,1000,200,4,0.3,15000,nys,0.0001592419866938144
4104543539,1000,200,4,0.3,15000,nys,8.587026241002604e-05
1194623263,1000,200,4,0.3,15000,nys,0.00013922725338488817
2205739499,1000,200,4,0.3,15000,nys,0.00011111122148577124
2718843009,1000,200,6,0.3,15000,nys,0.00012978987069800496
1278412471,1000,200,6,0.3,15000,nys,0.00012014772073598579
4104543539,1000,200,6,0.3,15000,nys,0.00014218001160770655
1194623263,1000,200,6,0.3,15000,nys,0.00013829948147758842
2205739499,1000,200,6,0.3,15000,nys,0.00015072622045408934
2718843009,1000,200,8,0.3,15000,nys,0.0016679827822372317
1278412471,1000,200,8,0.3,15000,nys,0.001520370482467115
4104543539,1000,200,8,0.3,15000,nys,0.0016620303504168987
1194623263,1000,200,8,0.3,15000,nys,0.0015064988983795047
2205739499,1000,200,8,0.3,15000,nys,0.0015804697759449482
2718843009,1000,200,10,0.3,15000,nys,0.006499935872852802
1278412471,1000,200,10,0.3,15000,nys,0.0060495552606880665
4104543539,1000,200,10,0.3,15000,nys,0.006429651286453009
1194623263,1000,200,10,0.3,15000,nys,0.0061572883278131485
2205739499,1000,200,10,0.3,15000,nys,0.006155079696327448
2718843009,1000,200,12,0.3,15000,nys,0.014563179574906826
1278412471,1000,200,12,0.3,15000,nys,0.01424625888466835
4104543539,1000,200,12,0.3,15000,nys,0.0149669349193573
1194623263,1000,200,12,0.3,15000,nys,0.014637963846325874
2205739499,1000,200,12,0.3,15000,nys,0.015321900136768818
2718843009,1000,200,14,0.3,15000,nys,0.028199639171361923
1278412471,1000,200,14,0.3,15000,nys,0.027455108240246773
4104543539,1000,200,14,0.3,15000,nys,0.029515590518712997
1194623263,1000,200,14,0.3,15000,nys,0.027699418365955353
2205739499,1000,200,14,0.3,15000,nys,0.02760532684624195
2718843009,1000,200,16,0.3,15000,nys,0.04399937018752098
1278412471,1000,200,16,0.3,15000,nys,0.04351454973220825
4104543539,1000,200,16,0.3,15000,nys,0.04559202864766121
1194623263,1000,200,16,0.3,15000,nys,0.04428869113326073
2205739499,1000,200,16,0.3,15000,nys,0.04354582354426384
2718843009,1000,200,18,0.3,15000,nys,0.06393150240182877
1278412471,1000,200,18,0.3,15000,nys,0.06518951058387756
4104543539,1000,200,18,0.3,15000,nys,0.06427446752786636
1194623263,1000,200,18,0.3,15000,nys,0.0641879290342331
2205739499,1000,200,18,0.3,15000,nys,0.06520527601242065
2718843009,1000,200,20,0.3,15000,nys,0.09102602303028107
1278412471,1000,200,20,0.3,15000,nys,0.08875039219856262
4104543539,1000,200,20,0.3,15000,nys,0.08771439641714096
1194623263,1000,200,20,0.3,15000,nys,0.09020131826400757
2205739499,1000,200,20,0.3,15000,nys,0.09039924293756485
2718843009,1000,200,22,0.3,15000,nys,0.11622302979230881
1278412471,1000,200,22,0.3,15000,nys,0.11514986306428909
4104543539,1000,200,22,0.3,15000,nys,0.11720576137304306
1194623263,1000,200,22,0.3,15000,nys,0.11454736441373825
2205739499,1000,200,22,0.3,15000,nys,0.11251477152109146
2718843009,1000,200,24,0.3,15000,nys,0.14939387142658234
1278412471,1000,200,24,0.3,15000,nys,0.14562258124351501
4104543539,1000,200,24,0.3,15000,nys,0.14726094901561737
1194623263,1000,200,24,0.3,15000,nys,0.14355601370334625
2205739499,1000,200,24,0.3,15000,nys,0.14430660009384155
2718843009,1000,200,26,0.3,15000,nys,0.18614880740642548
1278412471,1000,200,26,0.3,15000,nys,0.18198855221271515
4104543539,1000,200,26,0.3,15000,nys,0.17748504877090454
1194623263,1000,200,26,0.3,15000,nys,0.17751263082027435
2205739499,1000,200,26,0.3,15000,nys,0.17949700355529785
2718843009,1000,200,28,0.3,15000,nys,0.22302564978599548
1278412471,1000,200,28,0.3,15000,nys,0.21676522493362427
4104543539,1000,200,28,0.3,15000,nys,0.2196882963180542
1194623263,1000,200,28,0.3,15000,nys,0.21918092668056488
2205739499,1000,200,28,0.3,15000,nys,0.21667702496051788
2718843009,1000,200,30,0.3,15000,nys,0.262401819229126
1278412471,1000,200,30,0.3,15000,nys,0.26862242817878723
4104543539,1000,200,30,0.3,15000,nys,0.26077476143836975
1194623263,1000,200,30,0.3,15000,nys,0.2607824206352234
2205739499,1000,200,30,0.3,15000,nys,0.2624434530735016
2718843009,1000,200,2,0.3,15000,srf,9.458880231250077e-05
1278412471,1000,200,2,0.3,15000,srf,0.00012209448323119432
4104543539,1000,200,2,0.3,15000,srf,8.848247671267018e-05
1194623263,1000,200,2,0.3,15000,srf,7.274696690728888e-05
2205739499,1000,200,2,0.3,15000,srf,0.00011014855408575386
2718843009,1000,200,4,0.3,15000,srf,0.0002119953278452158
1278412471,1000,200,4,0.3,15000,srf,0.00020748299721162766
4104543539,1000,200,4,0.3,15000,srf,0.00021934582036919892
1194623263,1000,200,4,0.3,15000,srf,0.0002131960354745388
2205739499,1000,200,4,0.3,15000,srf,0.00020169535127934068
2718843009,1000,200,6,0.3,15000,srf,0.0015953393885865808
1278412471,1000,200,6,0.3,15000,srf,0.001630116137675941
4104543539,1000,200,6,0.3,15000,srf,0.001597442664206028
1194623263,1000,200,6,0.3,15000,srf,0.00159310398157686
2205739499,1000,200,6,0.3,15000,srf,0.0015792676713317633
2718843009,1000,200,8,0.3,15000,srf,0.005610082298517227
1278412471,1000,200,8,0.3,15000,srf,0.005400392692536116
4104543539,1000,200,8,0.3,15000,srf,0.005632696207612753
1194623263,1000,200,8,0.3,15000,srf,0.005574093200266361
2205739499,1000,200,8,0.3,15000,srf,0.005442352965474129
2718843009,1000,200,10,0.3,15000,srf,0.012037348002195358
1278412471,1000,200,10,0.3,15000,srf,0.012261126190423965
4104543539,1000,200,10,0.3,15000,srf,0.012467100284993649
1194623263,1000,200,10,0.3,15000,srf,0.011868874542415142
2205739499,1000,200,10,0.3,15000,srf,0.01216209214180708
2718843009,1000,200,12,0.3,15000,srf,0.0184332262724638
1278412471,1000,200,12,0.3,15000,srf,0.023717064410448074
4104543539,1000,200,12,0.3,15000,srf,0.020175432786345482
1194623263,1000,200,12,0.3,15000,srf,0.02138487435877323
2205739499,1000,200,12,0.3,15000,srf,0.0189072135835886
2718843009,1000,200,14,0.3,15000,srf,0.05534040182828903
1278412471,1000,200,14,0.3,15000,srf,0.0532289519906044
4104543539,1000,200,14,0.3,15000,srf,0.05601904168725014
1194623263,1000,200,14,0.3,15000,srf,0.05302541330456734
2205739499,1000,200,14,0.3,15000,srf,0.05429089441895485
2718843009,1000,200,16,0.3,15000,srf,0.07252278923988342
1278412471,1000,200,16,0.3,15000,srf,0.072695292532444
4104543539,1000,200,16,0.3,15000,srf,0.07510905712842941
1194623263,1000,200,16,0.3,15000,srf,0.07088356465101242
2205739499,1000,200,16,0.3,15000,srf,0.0730031281709671
2718843009,1000,200,18,0.3,15000,srf,0.09979568421840668
1278412471,1000,200,18,0.3,15000,srf,0.09965275973081589
4104543539,1000,200,18,0.3,15000,srf,0.10071726143360138
1194623263,1000,200,18,0.3,15000,srf,0.09943734854459763
2205739499,1000,200,18,0.3,15000,srf,0.10133332759141922
2718843009,1000,200,20,0.3,15000,srf,0.14235691726207733
1278412471,1000,200,20,0.3,15000,srf,0.13382570445537567
4104543539,1000,200,20,0.3,15000,srf,0.13774044811725616
1194623263,1000,200,20,0.3,15000,srf,0.1374625265598297
2205739499,1000,200,20,0.3,15000,srf,0.13967378437519073
2718843009,1000,200,22,0.3,15000,srf,0.17830312252044678
1278412471,1000,200,22,0.3,15000,srf,0.17828194797039032
4104543539,1000,200,22,0.3,15000,srf,0.18177951872348785
1194623263,1000,200,22,0.3,15000,srf,0.17467407882213593
2205739499,1000,200,22,0.3,15000,srf,0.17434652149677277
2718843009,1000,200,24,0.3,15000,srf,0.23014985024929047
1278412471,1000,200,24,0.3,15000,srf,0.2258218377828598
4104543539,1000,200,24,0.3,15000,srf,0.22623750567436218
1194623263,1000,200,24,0.3,15000,srf,0.22463421523571014
2205739499,1000,200,24,0.3,15000,srf,0.22283655405044556
2718843009,1000,200,26,0.3,15000,srf,0.28623390197753906
1278412471,1000,200,26,0.3,15000,srf,0.2745647430419922
4104543539,1000,200,26,0.3,15000,srf,0.278676301240921
1194623263,1000,200,26,0.3,15000,srf,0.27933967113494873
2205739499,1000,200,26,0.3,15000,srf,0.2811431288719177
2718843009,1000,200,28,0.3,15000,srf,0.3433188199996948
1278412471,1000,200,28,0.3,15000,srf,0.33561971783638
4104543539,1000,200,28,0.3,15000,srf,0.34867262840270996
1194623263,1000,200,28,0.3,15000,srf,0.3434509336948395
2205739499,1000,200,28,0.3,15000,srf,0.3417159616947174
2718843009,1000,200,30,0.3,15000,srf,0.40661540627479553
1278412471,1000,200,30,0.3,15000,srf,0.42180654406547546
4104543539,1000,200,30,0.3,15000,srf,0.4112360179424286
1194623263,1000,200,30,0.3,15000,srf,0.407887727022171
2205739499,1000,200,30,0.3,15000,srf,0.4059205949306488
2718843009,1000,200,2,0.3,15000,msrf,8.554533997084945e-05
1278412471,1000,200,2,0.3,15000,msrf,8.063529094215482e-05
4104543539,1000,200,2,0.3,15000,msrf,8.118365076370537e-05
1194623263,1000,200,2,0.3,15000,msrf,8.494718349538743e-05
2205739499,1000,200,2,0.3,15000,msrf,8.356018952326849e-05
2718843009,1000,200,4,0.3,15000,msrf,0.0002170646475860849
1278412471,1000,200,4,0.3,15000,msrf,0.00019869906827807426
4104543539,1000,200,4,0.3,15000,msrf,0.00023305405920837075
1194623263,1000,200,4,0.3,15000,msrf,0.0001950601872522384
2205739499,1000,200,4,0.3,15000,msrf,0.00021259530331008136
2718843009,1000,200,6,0.3,15000,msrf,0.0013917286414653063
1278412471,1000,200,6,0.3,15000,msrf,0.0014164013555273414
4104543539,1000,200,6,0.3,15000,msrf,0.00143032381311059
1194623263,1000,200,6,0.3,15000,msrf,0.0015264670364558697
2205739499,1000,200,6,0.3,15000,msrf,0.0014777668984606862
2718843009,1000,200,8,0.3,15000,msrf,0.005692899692803621
1278412471,1000,200,8,0.3,15000,msrf,0.00527374679222703
4104543539,1000,200,8,0.3,15000,msrf,0.005747604183852673
1194623263,1000,200,8,0.3,15000,msrf,0.005607118364423513
2205739499,1000,200,8,0.3,15000,msrf,0.005414454732090235
2718843009,1000,200,10,0.3,15000,msrf,0.012576722539961338
1278412471,1000,200,10,0.3,15000,msrf,0.012583690695464611
4104543539,1000,200,10,0.3,15000,msrf,0.013095787726342678
1194623263,1000,200,10,0.3,15000,msrf,0.0127799604088068
2205739499,1000,200,10,0.3,15000,msrf,0.012309365905821323
2718843009,1000,200,12,0.3,15000,msrf,0.02029641531407833
1278412471,1000,200,12,0.3,15000,msrf,0.02197442762553692
4104543539,1000,200,12,0.3,15000,msrf,0.021907083690166473
1194623263,1000,200,12,0.3,15000,msrf,0.020306561142206192
2205739499,1000,200,12,0.3,15000,msrf,0.0245234165340662
2718843009,1000,200,14,0.3,15000,msrf,0.0547250434756279
1278412471,1000,200,14,0.3,15000,msrf,0.053006596863269806
4104543539,1000,200,14,0.3,15000,msrf,0.05617517977952957
1194623263,1000,200,14,0.3,15000,msrf,0.052500586956739426
2205739499,1000,200,14,0.3,15000,msrf,0.05376328155398369
2718843009,1000,200,16,0.3,15000,msrf,0.07218018174171448
1278412471,1000,200,16,0.3,15000,msrf,0.07107173651456833
4104543539,1000,200,16,0.3,15000,msrf,0.0748133584856987
1194623263,1000,200,16,0.3,15000,msrf,0.07050325721502304
2205739499,1000,200,16,0.3,15000,msrf,0.07111939787864685
2718843009,1000,200,18,0.3,15000,msrf,0.10106627643108368
1278412471,1000,200,18,0.3,15000,msrf,0.10047012567520142
4104543539,1000,200,18,0.3,15000,msrf,0.10029421746730804
1194623263,1000,200,18,0.3,15000,msrf,0.0987013578414917
2205739499,1000,200,18,0.3,15000,msrf,0.10193528234958649
