seed,N,R,d,lr,epochs,method,error
4104543539,1000,100,2,0.1,100,orf,0.0265452079474926
1194623263,1000,100,2,0.1,100,orf,0.004533212631940842
2205739499,1000,100,2,0.1,100,orf,0.014986061491072178
2718843009,1000,100,2,0.1,500,orf,0.01373149361461401
1278412471,1000,100,2,0.1,500,orf,0.034373246133327484
4104543539,1000,100,2,0.1,500,orf,0.0265452079474926
1194623263,1000,100,2,0.1,500,orf,0.004533212631940842
2205739499,1000,100,2,0.1,500,orf,0.014986061491072178
2718843009,1000,100,2,0.1,1000,orf,0.01373149361461401
1278412471,1000,100,2,0.1,1000,orf,0.034373246133327484
4104543539,1000,100,2,0.1,1000,orf,0.0265452079474926
1194623263,1000,100,2,0.1,1000,orf,0.004533212631940842
2205739499,1000,100,2,0.1,1000,orf,0.014986061491072178
2718843009,1000,100,2,0.1,2500,orf,0.01373149361461401
1278412471,1000,100,2,0.1,2500,orf,0.034373246133327484
4104543539,1000,100,2,0.1,2500,orf,0.0265452079474926
1194623263,1000,100,2,0.1,2500,orf,0.004533212631940842
2205739499,1000,100,2,0.1,2500,orf,0.014986061491072178
2718843009,1000,100,2,0.1,5000,orf,0.01373149361461401
1278412471,1000,100,2,0.1,5000,orf,0.034373246133327484
4104543539,1000,100,2,0.1,5000,orf,0.0265452079474926
1194623263,1000,100,2,0.1,5000,orf,0.004533212631940842
2205739499,1000,100,2,0.1,5000,orf,0.014986061491072178
2718843009,1000,100,2,0.1,100,nys,0.00010127037239726633
1278412471,1000,100,2,0.1,100,nys,8.161998994182795e-05
4104543539,1000,100,2,0.1,100,nys,0.00019349291687831283
1194623263,1000,100,2,0.1,100,nys,8.996003452921286e-05
2205739499,1000,100,2,0.1,100,nys,0.00020551925990730524
2718843009,1000,100,2,0.1,500,nys,0.00010127037239726633
1278412471,1000,100,2,0.1,500,nys,8.161998994182795e-05
4104543539,1000,100,2,0.1,500,nys,0.00019349291687831283
1194623263,1000,100,2,0.1,500,nys,8.996003452921286e-05
2205739499,1000,100,2,0.1,500,nys,0.00020551925990730524
2718843009,1000,100,2,0.1,1000,nys,0.00010127037239726633
1278412471,1000,100,2,0.1,1000,nys,8.161998994182795e-05
4104543539,1000,100,2,0.1,1000,nys,0.00019349291687831283
1194623263,1000,100,2,0.1,1000,nys,8.996003452921286e-05
2205739499,1000,100,2,0.1,1000,nys,0.00020551925990730524
2718843009,1000,100,2,0.1,2500,nys,0.00010127037239726633
1278412471,1000,100,2,0.1,2500,nys,8.161998994182795e-05
4104543539,1000,100,2,0.1,2500,nys,0.00019349291687831283
1194623263,1000,100,2,0.1,2500,nys,8.996003452921286e-05
2205739499,1000,100,2,0.1,2500,nys,0.00020551925990730524
2718843009,1000,100,2,0.1,5000,nys,0.00010127037239726633
1278412471,1000,100,2,0.1,5000,nys,8.161998994182795e-05
